title,year,budget,revenue,runtime,vote_count,vote_average,popularity,wr,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
Inception,2010,160000000,825532764.0,148.0,14075,8,29.108148999999997,7.917588057742396,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
The Dark Knight,2008,185000000,1004558444.0,152.0,12269,8,123.167259,7.905871457906355,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Interstellar,2014,165000000,675120017.0,169.0,11187,8,32.213481,7.897107402958818,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Fight Club,1999,63000000,100853753.0,139.0,9678,8,63.869599,7.881752880714441,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
The Lord of the Rings: The Fellowship of the Ring,2001,93000000,871368364.0,178.0,8892,8,32.070725,7.871786953654775,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Pulp Fiction,1994,8000000,213928762.0,154.0,8670,8,140.95023600000002,7.868660493166128,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
The Shawshank Redemption,1994,25000000,28341469.0,142.0,8358,8,51.645403,7.863999673542359,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
The Lord of the Rings: The Return of the King,2003,94000000,1118888979.0,201.0,8226,8,29.324358,7.8619266893515505,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Forrest Gump,1994,55000000,677945399.0,142.0,8147,8,48.307194,7.860655533129522,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
The Lord of the Rings: The Two Towers,2002,79000000,926287400.0,179.0,7641,8,29.423537,7.851923855081663,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Star Wars,1977,11000000,775398007.0,121.0,6778,8,42.149696999999996,7.834204815555245,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Back to the Future,1985,19000000,381109762.0,116.0,6239,8,25.778509,7.8208129971204,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
The Godfather,1972,6000000,245066411.0,175.0,6024,8,41.109264,7.814847496095451,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
The Empire Strikes Back,1980,18000000,538400000.0,124.0,5998,8,19.470959,7.814099056247579,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Se7en,1995,33000000,327311859.0,127.0,5915,8,18.45743,7.81166878717663,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
The Imitation Game,2014,14000000,233555708.0,113.0,5895,8,31.595940000000002,7.811073649831636,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False
The Lion King,1994,45000000,788241776.0,89.0,5520,8,21.605760999999998,7.799174526332621,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
The Intouchables,2011,13000000,426480871.0,112.0,5410,8,16.086919,7.7953944438371705,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
The Grand Budapest Hotel,2014,30000000,174600318.0,99.0,4644,8,14.442048000000002,7.764530352458532,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
The Silence of the Lambs,1991,19000000,272742922.0,119.0,4549,8,4.307222,7.760041165921017,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
The Prestige,2006,40000000,109676311.0,130.0,4510,8,16.94556,7.758148286768694,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
Schindler's List,1993,22000000,321365567.0,195.0,4436,8,41.725122999999996,7.754473332604605,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
Whiplash,2014,3300000,13092000.0,105.0,4376,8,64.29999000000001,7.7514106298928125,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Leon: The Professional,1994,16000000,45284974.0,110.0,4293,8,20.477329,7.747045722399921,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Memento,2000,9000000,39723096.0,113.0,4168,8,15.450789000000002,7.7401749521478544,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
The Green Mile,1999,60000000,284600000.0,189.0,4166,8,19.96678,7.740061984735744,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
Spirited Away,2001,15000000,274925095.0,125.0,3968,8,41.048867,7.728370088547121,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
The Shining,1980,19000000,44017374.0,144.0,3890,8,19.611589000000002,7.723470196527388,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Reservoir Dogs,1992,1200000,14661007.0,99.0,3821,8,12.22034,7.718985929444048,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Life Is Beautiful,1997,20000000,229400000.0,116.0,3643,8,39.39497,7.706716980570131,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
A Clockwork Orange,1971,2200000,26589000.0,136.0,3432,8,17.112594,7.690710069783866,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
The Godfather: Part II,1974,13000000,47542841.0,200.0,3418,8,36.629307,7.689585963080069,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
The Usual Suspects,1995,6000000,23341568.0,106.0,3334,8,16.302466,7.682665904932172,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
GoodFellas,1990,25000000,46836394.0,145.0,3211,8,15.424092000000002,7.671957511600666,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
American History X,1998,20000000,23875127.0,119.0,3120,8,18.157166,7.6635579993765965,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Scarface,1983,25000000,65884703.0,170.0,3017,8,11.299673,7.653516409673841,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
One Flew Over the Cuckoo's Nest,1975,3000000,108981275.0,133.0,3001,8,35.529554,7.651902512309877,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Room,2015,6000000,35401758.0,117.0,2838,8,12.443291,7.634561469983015,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Dead Poets Society,1989,16400000,235860116.0,129.0,2786,8,19.905716,7.628659978193921,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
